protocol,address,token0_symbol,token1_symbol,tickSpacing,fee,token0_address,token1_address,decimals0,decimals1,dex
PancakeSwapV3,0x242058380e90add384f0d265fb51d9edef20fdf4,MiniDoge,WBNB,50,2500,0xa0c0b83c06dd70a58c3f6962e4b552b91aeda321,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x6cc2490c9f7f047ee485e49d90a1bd74c2377a12,WBNB,CHILLGUY,50,2500,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xbdf4b6b721fc92628d858b6d9fe56c346d1a6874,18,18,PancakeSwapV3
PancakeSwapV3,0x2e50d968de6ffc87a617501d251370fd2a8e8fff,USDT,USDA,1,100,0x55d398326f99059ff775485246999027b3197955,0xd855b3fbf178724982a50b153702b1db2cd9db90,18,18,PancakeSwapV3
PancakeSwapV3,0x861445f5179c47bb0769fa880dd957ec76c8614e,WBNB,LILX,50,2500,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe0b2b22da81034e16b83166d8dade5e05d6b860c,18,18,PancakeSwapV3
PancakeSwapV3,0xa7572db84d647fabfe7f5a70b696a69a3f37cad5,NKN,WBNB,10,500,0x77a7ededff15d2c47ce078df5e2b32b260ef0106,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x9806bbe6f4949c74f6b3bdc9225eac37dfe42daa,PI ,WBNB,50,2500,0x085672161196f3e65cf033815dc173973b63381b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0xe8afcc22c8baf7082ffecdcb70f6d4a8239c40e7,WBNB,WLFI,50,2500,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf2bcdf08ff704cca433005fc1333484a8ebb40dc,18,18,PancakeSwapV3
PancakeSwapV3,0x8f799976478b9326f54c10252af351d0fc7f4315,mrt,WBNB,1,100,0xacaef5136ba552a5897a92b9b66dfb997ab93273,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
PancakeSwapV3,0x56e337dff36de235f0b8ee272357bab955734a3b,SUI,USDT,10,500,0x1c080976a3e613ee88f54f52cb1e4e7d91e30737,0x55d398326f99059ff775485246999027b3197955,6,18,PancakeSwapV3
PancakeSwapV3,0xdc65e580501fe8a8479a9aa10b8b87df58955318,USDT,USDT,1,100,0x55d398326f99059ff775485246999027b3197955,0xdd3844401ccd9973f8f8b44a57ca5a4a377aa04a,18,18,PancakeSwapV3
PancakeSwapV3,0x9528ef035f9319e17377a04ee47488abf3c04322,USDT,HYPE,10,500,0x55d398326f99059ff775485246999027b3197955,0xdc3c8645a1292e47ce9766196b9989bd42f45e28,18,8,PancakeSwapV3
PancakeSwapV3,0x58e35215ad0a19eb2da93b4bf98f8594a0b0a75c,USDT,L50,1,100,0x55d398326f99059ff775485246999027b3197955,0xe923df0969e9f111e7c97abb610826520a9e1b74,18,18,PancakeSwapV3
PancakeSwapV3,0x08696c4d8b242a10ca7105e14493f58f49a8d4d0,BETR,USDC,1,100,0x3664fd4ad6f42573c0f50130491d61d96a54faa1,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,18,PancakeSwapV3
PancakeSwapV3,0x166fabc60ce46a42899de4ea7aaf5a4e61851d19,USSP,USDC,1,100,0x7e904b25e4f05de05dd8f4ef1162f30580a5e3a5,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,18,PancakeSwapV3
UniswapV3CL,0x74dc8963be43fc0d832c77f0a1034b350111df8a,USDT,USSP,1,100,0x55d398326f99059ff775485246999027b3197955,0x7e904b25e4f05de05dd8f4ef1162f30580a5e3a5,18,18,UniswapV3CL
PancakeSwapV3,0x7b6b76b0fedeed0e98789ddf085137888d27d7f7,WBNB,NOT,10,500,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xd70c3681f6f14a65758be094a5a52dc44c196250,18,18,PancakeSwapV3
UniswapV3CL,0x289ca320ee712da2673cbee0fdd9b5dfeccc1fd5,X,USDT,1,100,0x0000000003d65ccd223fff0a607a247bbf6b47a4,0x55d398326f99059ff775485246999027b3197955,18,18,UniswapV3CL
UniswapV3CL,0x8ffea875b6a6341a3cb4ad98060f2e18ede1ce4e,WBNB,TEST,60,3000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xdabca02ba5350fd2a4afb59d84848fc476dce333,18,18,UniswapV3CL
